Actor/Actress	Movie	Year
BRUMPTON, JOHN	ROMPER STOMPER	1992
CROWE, RUSSELL	ROMPER STOMPER	1992
FOSTER, NEIL (I)	ROMPER STOMPER	1992
HALL, STEPHEN (I)	ROMPER STOMPER	1992
IENNA, MICHAEL	ROMPER STOMPER	1992
MCKENZIE, JACQUELINE (I)	ROMPER STOMPER	1992
WYLLIE, DAN (I)	ROMPER STOMPER	1992
BALDWIN, ALEC	NOTTING HILL	1999
BARTON, MISCHA	NOTTING HILL	1999
BHASKAR, SANJEEV	NOTTING HILL	1999
BONNEVILLE, HUGH	NOTTING HILL	1999
CALLOW, SIMON	NOTTING HILL	1999
CARAVAN, KENNETH W	NOTTING HILL	1999
CRONIN, SEAN (I)	NOTTING HILL	1999
DJALILI, OMID	NOTTING HILL	1999
DONN, RAY	NOTTING HILL	1999
FROST, ROGER (I)	NOTTING HILL	1999
GOODMAN, HENRY (I)	NOTTING HILL	1999
GRANT, HUGH (I)	NOTTING HILL	1999
IFANS, RHYS	NOTTING HILL	1999
MCCABE, RICHARD	NOTTING HILL	1999
MCINNERNY, TIM	NOTTING HILL	1999
MCKEE, GINA	NOTTING HILL	1999
MENEZES, JO„O COSTA	NOTTING HILL	1999
MODINE, MATTHEW	NOTTING HILL	1999
MORTIMER, EMILY	NOTTING HILL	1999
PACKHAM, TIM	NOTTING HILL	1999
PETERS, CLARKE	NOTTING HILL	1999
RHIND-TUTT, JULIAN	NOTTING HILL	1999
ROBERTS, JULIA (I)	NOTTING HILL	1999
SHRAPNEL, JOHN	NOTTING HILL	1999
VENEGAS, ARTURO	NOTTING HILL	1999
WEST, SAMUEL	NOTTING HILL	1999
ARTUS, ASHLEY	THE WISDOM OF CROCODILES	1998
DAVENPORT, JACK	THE WISDOM OF CROCODILES	1998
FOX, KERRY (I)	THE WISDOM OF CROCODILES	1998
HILLE, ANASTASIA	THE WISDOM OF CROCODILES	1998
LAW, JUDE	THE WISDOM OF CROCODILES	1998
LˆWENSOHN, ELINA	THE WISDOM OF CROCODILES	1998
SALMON, COLIN	THE WISDOM OF CROCODILES	1998
SPALL, TIMOTHY	THE WISDOM OF CROCODILES	1998
TANG, HON PING	THE WISDOM OF CROCODILES	1998
WU, TOM (I)	THE WISDOM OF CROCODILES	1998
COMSHAW, LISA (I)	SHINING BLOOD	1992
LAW, JOHN PHILLIP	SHINING BLOOD	1992
ALTERMAN, STEVE	PEOPLE LIKE US	2012
BANKS, ELIZABETH (II)	PEOPLE LIKE US	2012
BROCHU, DEVIN	PEOPLE LIKE US	2012
BROWNSTEIN, ROB	PEOPLE LIKE US	2012
BURKE, AL (II)	PEOPLE LIKE US	2012
DRIER, MOOSIE	PEOPLE LIKE US	2012
DUPLASS, MARK	PEOPLE LIKE US	2012
FARB, AARON	PEOPLE LIKE US	2012
FAVREAU, JON	PEOPLE LIKE US	2012
GARNER, JERALD	PEOPLE LIKE US	2012
HALL, PHILIP BAKER	PEOPLE LIKE US	2012
HARRIS, BARBARA EVE	PEOPLE LIKE US	2012
HUTTON, RIF	PEOPLE LIKE US	2012
PFEIFFER, MICHELLE	PEOPLE LIKE US	2012
PINE, CHRIS (I)	PEOPLE LIKE US	2012
TOMLINSON, LESHAY N.	PEOPLE LIKE US	2012
WILDE, OLIVIA	PEOPLE LIKE US	2012
ZYLER, DAVID	PEOPLE LIKE US	2012
DEHART, WAYNE	ROAD DOGS	2003
MILLER, TRACY (I)	ROAD DOGS	2003
PLUMMER, GLENN	ROAD DOGS	2003
SPENCER, CHRIS (I)	ROAD DOGS	2003
ARGENTI, ALEX	NINE	2009
CILENTI, ENZO	NINE	2009
COTILLARD, MARION	NINE	2009
CRUZ, PENÈLOPE	NINE	2009
DAY-LEWIS, DANIEL	NINE	2009
DENCH, JUDI	NINE	2009
DI STEFANO, ANDREA (I)	NINE	2009
FAYE, DENISE (I)	NINE	2009
HUDSON, KATE (I)	NINE	2009
HUGHES, TARA NICOLE	NINE	2009
KIDMAN, NICOLE	NINE	2009
LAMBERT, VICKY	NINE	2009
PICCIANO, GINO	NINE	2009
REMOTTI, REMO	NINE	2009
RIOTTA, VINCENT	NINE	2009
CADE, JOHN	ROUTE 666	2001
FARMER, GARY (I)	ROUTE 666	2001
FITZGERALD, ROB ROY	ROUTE 666	2001
HICKS, CHUCK (I)	ROUTE 666	2001
HUDIS, STEPHEN R.	ROUTE 666	2001
JONES, L.Q.	ROUTE 666	2001
LOCKHART, ANNE (I)	ROUTE 666	2001
LONG, MICHAEL R. (I)	ROUTE 666	2001
MCARTHUR, ALEX (I)	ROUTE 666	2001
MICHAELS, RHINO	ROUTE 666	2001
MIDKIFF, DALE	ROUTE 666	2001
MILLER, DICK (I)	ROUTE 666	2001
PETTY, LORI	ROUTE 666	2001
PHILLIPS, LOU DIAMOND	ROUTE 666	2001
PIEMONTE, PEEWEE	ROUTE 666	2001
THORSEN, SVEN-OLE	ROUTE 666	2001
VERNIER, ADAM	ROUTE 666	2001
WILLIAMS, STEVEN (I)	ROUTE 666	2001
BINEV, VELIZAR	SPIDERS II: BREEDING GROUND	2001
HENDERSON, GERALD (III)	SPIDERS II: BREEDING GROUND	2001
MOLL, RICHARD	SPIDERS II: BREEDING GROUND	2001
NIZNIK, STEPHANIE	SPIDERS II: BREEDING GROUND	2001
QUINN, DANIEL (I)	SPIDERS II: BREEDING GROUND	2001
VELEV, VELIMER	SPIDERS II: BREEDING GROUND	2001
FRIELS, COLIN	BACK OF BEYOND	1995
MERCURIO, PAUL	BACK OF BEYOND	1995
ALLEN, TODD (I)	GRAND CANYON	1991
CARPENTER, WILLIE C.	GRAND CANYON	1991
CERVANTES, GARY CARLOS	GRAND CANYON	1991
COLLINS JR., CLIFTON	GRAND CANYON	1991
FREEMAN, K. TODD	GRAND CANYON	1991
GLOVER, DANNY (I)	GRAND CANYON	1991
JONES, BRETT A.	GRAND CANYON	1991
KEHLER, JACK	GRAND CANYON	1991
KINGI, HENRY	GRAND CANYON	1991
KLINE, KEVIN (I)	GRAND CANYON	1991
LIFFORD, TINA	GRAND CANYON	1991
MALONE, PATRICK (I)	GRAND CANYON	1991
MARTIN, STEVE (I)	GRAND CANYON	1991
MCDONNELL, MARY (I)	GRAND CANYON	1991
PARKER, MARY-LOUISE	GRAND CANYON	1991
RICHMOND, BRANSCOMBE	GRAND CANYON	1991
SHELTON, MARLEY	GRAND CANYON	1991
SISTO, JEREMY	GRAND CANYON	1991
TRAINOR, MARY ELLEN	GRAND CANYON	1991
TRIGGER, SARAH	GRAND CANYON	1991
WALLACE, BASIL	GRAND CANYON	1991
